,scheduled_time
53,2023-10-03 12:01:05.419202816
54,2023-10-03 12:01:05.419202816
55,2023-10-03 08:39:00.000000000
56,2023-10-03 08:39:00.000000000
57,2023-10-03 08:38:00.000000000
58,2023-10-03 08:38:00.000000000
59,2023-10-03 08:29:00.000000000
60,2023-10-03 08:31:00.000000000
61,2023-10-03 12:01:05.419202816
62,2023-10-03 08:35:00.000000000
63,2023-10-03 12:01:05.419202816
64,2023-10-03 12:01:05.419202816
65,2023-10-03 08:38:00.000000000
66,2023-10-03 08:29:00.000000000
67,2023-10-03 08:29:00.000000000
68,2023-10-03 08:35:00.000000000
69,2023-10-03 08:31:00.000000000
70,2023-10-03 08:38:00.000000000
71,2023-10-03 08:33:00.000000000
72,2023-10-03 12:01:05.419202816
73,2023-10-03 08:35:00.000000000
74,2023-10-03 08:38:00.000000000
75,2023-10-03 12:01:05.419202816
76,2023-10-03 12:01:05.419202816
77,2023-10-03 12:01:05.419202816
78,2023-10-03 08:29:00.000000000
79,2023-10-03 12:01:05.419202816
80,2023-10-03 08:39:00.000000000
81,2023-10-03 08:36:00.000000000
82,2023-10-03 12:01:05.419202816
83,2023-10-03 08:32:00.000000000
84,2023-10-03 12:01:05.419202816
85,2023-10-03 08:34:00.000000000
86,2023-10-03 08:31:00.000000000
87,2023-10-03 08:36:00.000000000
88,2023-10-03 08:31:00.000000000
89,2023-10-03 08:38:00.000000000
90,2023-10-03 08:36:00.000000000
91,2023-10-03 08:36:00.000000000
92,2023-10-03 12:01:05.419202816
93,2023-10-03 08:37:00.000000000
94,2023-10-03 08:37:00.000000000
95,2023-10-03 08:37:00.000000000
96,2023-10-03 08:32:00.000000000
97,2023-10-03 08:35:00.000000000
98,2023-10-03 08:34:00.000000000
99,2023-10-03 08:37:00.000000000
100,2023-10-03 08:32:00.000000000
101,2023-10-03 08:37:00.000000000
102,2023-10-03 08:37:00.000000000
103,2023-10-03 12:01:05.419202816
104,2023-10-03 12:01:05.419202816
105,2023-10-03 08:35:00.000000000
106,2023-10-03 08:32:00.000000000
107,2023-10-03 08:32:00.000000000
108,2023-10-03 08:37:00.000000000
109,2023-10-03 12:01:05.419202816
110,2023-10-03 08:32:00.000000000
111,2023-10-03 12:01:05.419202816
112,2023-10-03 08:35:00.000000000
113,2023-10-03 12:01:05.419202816
114,2023-10-03 08:35:00.000000000
115,2023-10-03 08:43:00.000000000
116,2023-10-03 08:37:00.000000000
117,2023-10-03 08:32:00.000000000
118,2023-10-03 08:32:00.000000000
119,2023-10-03 08:43:00.000000000
120,2023-10-03 08:31:00.000000000
121,2023-10-03 08:32:00.000000000
122,2023-10-03 08:44:00.000000000
123,2023-10-03 08:43:00.000000000
124,2023-10-03 08:37:00.000000000
125,2023-10-03 12:01:05.419202816
126,2023-10-03 12:01:05.419202816
127,2023-10-03 08:36:00.000000000
128,2023-10-03 08:37:00.000000000
129,2023-10-03 08:32:00.000000000
130,2023-10-03 08:44:00.000000000
131,2023-10-03 08:34:00.000000000
132,2023-10-03 12:01:05.419202816
133,2023-10-03 08:36:00.000000000
134,2023-10-03 08:43:00.000000000
135,2023-10-03 08:43:00.000000000
136,2023-10-03 08:34:00.000000000
137,2023-10-03 08:34:00.000000000
138,2023-10-03 12:01:05.419202816
139,2023-10-03 12:01:05.419202816
140,2023-10-03 12:01:05.419202816
141,2023-10-03 08:44:00.000000000
142,2023-10-03 08:36:00.000000000
143,2023-10-03 12:01:05.419202816
144,2023-10-03 12:01:05.419202816
145,2023-10-03 08:44:00.000000000
146,2023-10-03 08:36:00.000000000
147,2023-10-03 08:43:00.000000000
148,2023-10-03 08:35:00.000000000
149,2023-10-03 08:35:00.000000000
150,2023-10-03 12:01:05.419202816
151,2023-10-03 08:40:00.000000000
152,2023-10-03 08:35:00.000000000
153,2023-10-03 08:35:00.000000000
154,2023-10-03 08:36:00.000000000
155,2023-10-03 12:01:05.419202816
156,2023-10-03 12:01:05.419202816
157,2023-10-03 08:36:00.000000000
158,2023-10-03 12:01:05.419202816
159,2023-10-03 12:01:05.419202816
160,2023-10-03 12:01:05.419202816
161,2023-10-03 08:44:00.000000000
162,2023-10-03 08:43:00.000000000
163,2023-10-03 08:40:00.000000000
164,2023-10-03 08:34:00.000000000
165,2023-10-03 08:37:00.000000000
166,2023-10-03 08:37:00.000000000
167,2023-10-03 08:34:00.000000000
168,2023-10-03 08:40:00.000000000
169,2023-10-03 12:01:05.419202816
170,2023-10-03 08:39:00.000000000
171,2023-10-03 12:01:05.419202816
172,2023-10-03 08:51:00.000000000
173,2023-10-03 08:35:00.000000000
174,2023-10-03 12:01:05.419202816
175,2023-10-03 12:01:05.419202816
176,2023-10-03 08:39:00.000000000
177,2023-10-03 12:01:05.419202816
178,2023-10-03 08:35:00.000000000
179,2023-10-03 08:36:00.000000000
180,2023-10-03 12:01:05.419202816
181,2023-10-03 12:01:05.419202816
182,2023-10-03 08:37:00.000000000
183,2023-10-03 12:01:05.419202816
184,2023-10-03 08:44:00.000000000
185,2023-10-03 08:34:00.000000000
186,2023-10-03 08:37:00.000000000
187,2023-10-03 08:39:00.000000000
188,2023-10-03 08:35:00.000000000
189,2023-10-03 12:01:05.419202816
190,2023-10-03 08:37:00.000000000
191,2023-10-03 08:51:00.000000000
192,2023-10-03 12:01:05.419202816
193,2023-10-03 12:01:05.419202816
194,2023-10-03 12:01:05.419202816
195,2023-10-03 08:36:00.000000000
196,2023-10-03 08:44:00.000000000
197,2023-10-03 12:01:05.419202816
198,2023-10-03 08:49:00.000000000
199,2023-10-03 08:37:00.000000000
200,2023-10-03 12:01:05.419202816
201,2023-10-03 08:42:00.000000000
202,2023-10-03 12:01:05.419202816
203,2023-10-03 08:49:00.000000000
204,2023-10-03 12:01:05.419202816
205,2023-10-03 12:01:05.419202816
206,2023-10-03 08:51:00.000000000
207,2023-10-03 08:42:00.000000000
208,2023-10-03 12:01:05.419202816
209,2023-10-03 08:44:00.000000000
210,2023-10-03 08:39:00.000000000
211,2023-10-03 08:39:00.000000000
212,2023-10-03 08:37:00.000000000
213,2023-10-03 08:44:00.000000000
214,2023-10-03 08:43:00.000000000
215,2023-10-03 08:43:00.000000000
216,2023-10-03 12:01:05.419202816
217,2023-10-03 08:39:00.000000000
218,2023-10-03 08:39:00.000000000
219,2023-10-03 12:01:05.419202816
220,2023-10-03 08:44:00.000000000
221,2023-10-03 12:01:05.419202816
222,2023-10-03 08:44:00.000000000
223,2023-10-03 08:37:00.000000000
224,2023-10-03 12:01:05.419202816
225,2023-10-03 08:40:00.000000000
226,2023-10-03 08:43:00.000000000
227,2023-10-03 12:01:05.419202816
228,2023-10-03 08:52:00.000000000
229,2023-10-03 12:01:05.419202816
230,2023-10-03 12:01:05.419202816
231,2023-10-03 08:51:00.000000000
232,2023-10-03 08:39:00.000000000
233,2023-10-03 08:37:00.000000000
234,2023-10-03 08:43:00.000000000
235,2023-10-03 08:49:00.000000000
236,2023-10-03 08:40:00.000000000
237,2023-10-03 12:01:05.419202816
238,2023-10-03 08:57:00.000000000
239,2023-10-03 08:43:00.000000000
240,2023-10-03 08:43:00.000000000
241,2023-10-03 08:45:00.000000000
242,2023-10-03 08:45:00.000000000
243,2023-10-03 12:01:05.419202816
244,2023-10-03 12:01:05.419202816
245,2023-10-03 12:01:05.419202816
246,2023-10-03 12:01:05.419202816
247,2023-10-03 08:57:00.000000000
248,2023-10-03 08:43:00.000000000
249,2023-10-03 12:01:05.419202816
250,2023-10-03 08:39:00.000000000
251,2023-10-03 08:45:00.000000000
252,2023-10-03 08:45:00.000000000
253,2023-10-03 08:42:00.000000000
254,2023-10-03 08:43:00.000000000
255,2023-10-03 08:40:00.000000000
256,2023-10-03 08:43:00.000000000
257,2023-10-03 12:01:05.419202816
258,2023-10-03 12:01:05.419202816
259,2023-10-03 08:42:00.000000000
260,2023-10-03 08:42:00.000000000
261,2023-10-03 08:51:00.000000000
262,2023-10-03 12:01:05.419202816
263,2023-10-03 08:43:00.000000000
264,2023-10-03 12:01:05.419202816
265,2023-10-03 12:01:05.419202816
266,2023-10-03 08:43:00.000000000
267,2023-10-03 12:01:05.419202816
268,2023-10-03 08:43:00.000000000
269,2023-10-03 12:01:05.419202816
270,2023-10-03 12:01:05.419202816
271,2023-10-03 08:43:00.000000000
272,2023-10-03 08:51:00.000000000
273,2023-10-03 08:51:00.000000000
274,2023-10-03 12:01:05.419202816
275,2023-10-03 08:49:00.000000000
276,2023-10-03 12:01:05.419202816
277,2023-10-03 08:43:00.000000000
278,2023-10-03 08:40:00.000000000
279,2023-10-03 08:40:00.000000000
280,2023-10-03 12:01:05.419202816
281,2023-10-03 12:01:05.419202816
282,2023-10-03 08:51:00.000000000
283,2023-10-03 12:01:05.419202816
284,2023-10-03 08:49:00.000000000
285,2023-10-03 12:01:05.419202816
286,2023-10-03 08:42:00.000000000
287,2023-10-03 08:43:00.000000000
288,2023-10-03 08:43:00.000000000
289,2023-10-03 08:42:00.000000000
290,2023-10-03 08:42:00.000000000
291,2023-10-03 12:01:05.419202816
292,2023-10-03 12:01:05.419202816
293,2023-10-03 08:45:00.000000000
294,2023-10-03 08:42:00.000000000
295,2023-10-03 12:01:05.419202816
296,2023-10-03 12:01:05.419202816
297,2023-10-03 12:01:05.419202816
298,2023-10-03 12:01:05.419202816
299,2023-10-03 08:46:00.000000000
300,2023-10-03 12:01:05.419202816
301,2023-10-03 08:49:00.000000000
302,2023-10-03 08:46:00.000000000
303,2023-10-03 08:43:00.000000000
304,2023-10-03 08:42:00.000000000
305,2023-10-03 12:01:05.419202816
306,2023-10-03 08:42:00.000000000
307,2023-10-03 08:46:00.000000000
308,2023-10-03 08:40:00.000000000
309,2023-10-03 12:01:05.419202816
310,2023-10-03 08:43:00.000000000
311,2023-10-03 12:01:05.419202816
312,2023-10-03 12:01:05.419202816
313,2023-10-03 12:01:05.419202816
314,2023-10-03 12:01:05.419202816
315,2023-10-03 08:45:00.000000000
316,2023-10-03 12:01:05.419202816
317,2023-10-03 12:01:05.419202816
318,2023-10-03 08:49:00.000000000
319,2023-10-03 08:48:00.000000000
320,2023-10-03 12:01:05.419202816
321,2023-10-03 12:01:05.419202816
322,2023-10-03 08:48:00.000000000
323,2023-10-03 08:42:00.000000000
324,2023-10-03 08:45:00.000000000
325,2023-10-03 12:01:05.419202816
326,2023-10-03 08:48:00.000000000
327,2023-10-03 08:42:00.000000000
328,2023-10-03 08:49:00.000000000
329,2023-10-03 08:46:00.000000000
330,2023-10-03 12:01:05.419202816
331,2023-10-03 12:01:05.419202816
332,2023-10-03 08:45:00.000000000
333,2023-10-03 08:48:00.000000000
334,2023-10-03 12:01:05.419202816
335,2023-10-03 12:01:05.419202816
336,2023-10-03 12:01:05.419202816
337,2023-10-03 08:49:00.000000000
338,2023-10-03 12:01:05.419202816
339,2023-10-03 08:42:00.000000000
340,2023-10-03 08:45:00.000000000
341,2023-10-03 08:45:00.000000000
342,2023-10-03 08:49:00.000000000
343,2023-10-03 12:01:05.419202816
344,2023-10-03 12:01:05.419202816
345,2023-10-03 12:01:05.419202816
346,2023-10-03 12:01:05.419202816
347,2023-10-03 08:49:00.000000000
348,2023-10-03 08:49:00.000000000
349,2023-10-03 12:01:05.419202816
350,2023-10-03 12:01:05.419202816
351,2023-10-03 08:45:00.000000000
352,2023-10-03 08:46:00.000000000
353,2023-10-03 08:48:00.000000000
354,2023-10-03 08:49:00.000000000
355,2023-10-03 08:46:00.000000000
356,2023-10-03 08:46:00.000000000
357,2023-10-03 08:45:00.000000000
358,2023-10-03 08:46:00.000000000
359,2023-10-03 08:46:00.000000000
360,2023-10-03 12:01:05.419202816
361,2023-10-03 08:52:00.000000000
362,2023-10-03 08:52:00.000000000
363,2023-10-03 08:46:00.000000000
364,2023-10-03 08:45:00.000000000
365,2023-10-03 08:45:00.000000000
366,2023-10-03 08:45:00.000000000
367,2023-10-03 12:01:05.419202816
368,2023-10-03 08:52:00.000000000
369,2023-10-03 08:46:00.000000000
370,2023-10-03 08:52:00.000000000
371,2023-10-03 08:46:00.000000000
372,2023-10-03 12:01:05.419202816
373,2023-10-03 08:52:00.000000000
374,2023-10-03 08:49:00.000000000
375,2023-10-03 08:52:00.000000000
376,2023-10-03 08:49:00.000000000
377,2023-10-03 08:46:00.000000000
378,2023-10-03 08:52:00.000000000
379,2023-10-03 08:46:00.000000000
380,2023-10-03 12:01:05.419202816
381,2023-10-03 12:01:05.419202816
382,2023-10-03 12:01:05.419202816
383,2023-10-03 12:01:05.419202816
384,2023-10-03 08:49:00.000000000
385,2023-10-03 08:46:00.000000000
386,2023-10-03 08:45:00.000000000
387,2023-10-03 08:52:00.000000000
388,2023-10-03 12:01:05.419202816
389,2023-10-03 08:46:00.000000000
390,2023-10-03 08:52:00.000000000
391,2023-10-03 09:15:00.000000000
392,2023-10-03 12:01:05.419202816
393,2023-10-03 12:01:05.419202816
394,2023-10-03 12:01:05.419202816
395,2023-10-03 08:45:00.000000000
396,2023-10-03 08:48:00.000000000
397,2023-10-03 08:48:00.000000000
398,2023-10-03 08:51:00.000000000
399,2023-10-03 08:53:00.000000000
400,2023-10-03 08:53:00.000000000
401,2023-10-03 08:45:00.000000000
402,2023-10-03 12:01:05.419202816
403,2023-10-03 12:01:05.419202816
404,2023-10-03 12:01:05.419202816
405,2023-10-03 08:51:00.000000000
406,2023-10-03 08:53:00.000000000
407,2023-10-03 08:53:00.000000000
408,2023-10-03 12:01:05.419202816
409,2023-10-03 08:49:00.000000000
410,2023-10-03 08:53:00.000000000
411,2023-10-03 08:53:00.000000000
412,2023-10-03 08:53:00.000000000
413,2023-10-03 12:01:05.419202816
414,2023-10-03 08:49:00.000000000
415,2023-10-03 08:58:00.000000000
416,2023-10-03 08:49:00.000000000
417,2023-10-03 08:49:00.000000000
418,2023-10-03 08:53:00.000000000
419,2023-10-03 12:01:05.419202816
420,2023-10-03 08:48:00.000000000
421,2023-10-03 08:53:00.000000000
422,2023-10-03 08:47:00.000000000
423,2023-10-03 08:47:00.000000000
424,2023-10-03 12:01:05.419202816
425,2023-10-03 12:01:05.419202816
426,2023-10-03 08:49:00.000000000
427,2023-10-03 08:53:00.000000000
428,2023-10-03 08:51:00.000000000
429,2023-10-03 08:51:00.000000000
430,2023-10-03 08:47:00.000000000
431,2023-10-03 08:58:00.000000000
432,2023-10-03 12:01:05.419202816
433,2023-10-03 12:01:05.419202816
434,2023-10-03 08:47:00.000000000
435,2023-10-03 08:49:00.000000000
436,2023-10-03 08:58:00.000000000
437,2023-10-03 12:01:05.419202816
438,2023-10-03 12:01:05.419202816
439,2023-10-03 08:53:00.000000000
440,2023-10-03 08:53:00.000000000
441,2023-10-03 08:55:00.000000000
442,2023-10-03 12:01:05.419202816
443,2023-10-03 08:53:00.000000000
444,2023-10-03 08:58:00.000000000
445,2023-10-03 08:51:00.000000000
446,2023-10-03 12:01:05.419202816
447,2023-10-03 12:01:05.419202816
448,2023-10-03 08:56:00.000000000
449,2023-10-03 08:56:00.000000000
450,2023-10-03 08:47:00.000000000
451,2023-10-03 08:55:00.000000000
452,2023-10-03 12:01:05.419202816
453,2023-10-03 12:01:05.419202816
454,2023-10-03 08:55:00.000000000
455,2023-10-03 08:51:00.000000000
456,2023-10-03 12:01:05.419202816
457,2023-10-03 12:01:05.419202816
458,2023-10-03 12:01:05.419202816
459,2023-10-03 08:58:00.000000000
460,2023-10-03 08:58:00.000000000
461,2023-10-03 12:01:05.419202816
462,2023-10-03 12:01:05.419202816
463,2023-10-03 08:53:00.000000000
464,2023-10-03 08:58:00.000000000
465,2023-10-03 08:56:00.000000000
466,2023-10-03 08:49:00.000000000
467,2023-10-03 08:49:00.000000000
468,2023-10-03 12:01:05.419202816
469,2023-10-03 08:56:00.000000000
470,2023-10-03 08:50:00.000000000
471,2023-10-03 08:56:00.000000000
472,2023-10-03 12:01:05.419202816
473,2023-10-03 12:01:05.419202816
474,2023-10-03 08:54:00.000000000
475,2023-10-03 12:01:05.419202816
476,2023-10-03 08:55:00.000000000
477,2023-10-03 08:58:00.000000000
478,2023-10-03 08:50:00.000000000
479,2023-10-03 08:54:00.000000000
480,2023-10-03 12:01:05.419202816
481,2023-10-03 08:58:00.000000000
482,2023-10-03 08:56:00.000000000
483,2023-10-03 08:51:00.000000000
484,2023-10-03 08:59:00.000000000
485,2023-10-03 08:54:00.000000000
486,2023-10-03 08:54:00.000000000
487,2023-10-03 08:50:00.000000000
488,2023-10-03 08:50:00.000000000
489,2023-10-03 08:58:00.000000000
490,2023-10-03 12:01:05.419202816
491,2023-10-03 12:01:05.419202816
492,2023-10-03 08:58:00.000000000
493,2023-10-03 08:58:00.000000000
494,2023-10-03 08:53:00.000000000
495,2023-10-03 08:51:00.000000000
496,2023-10-03 08:49:00.000000000
497,2023-10-03 09:02:00.000000000
498,2023-10-03 08:53:00.000000000
499,2023-10-03 08:53:00.000000000
500,2023-10-03 09:02:00.000000000
501,2023-10-03 12:01:05.419202816
502,2023-10-03 12:01:05.419202816
503,2023-10-03 09:15:00.000000000
504,2023-10-03 09:02:00.000000000
505,2023-10-03 08:59:00.000000000
506,2023-10-03 08:50:00.000000000
507,2023-10-03 12:01:05.419202816
508,2023-10-03 09:02:00.000000000
509,2023-10-03 08:55:00.000000000
510,2023-10-03 08:55:00.000000000
511,2023-10-03 09:15:00.000000000
512,2023-10-03 12:01:05.419202816
513,2023-10-03 12:01:05.419202816
514,2023-10-03 09:15:00.000000000
515,2023-10-03 12:01:05.419202816
516,2023-10-03 08:59:00.000000000
517,2023-10-03 08:59:00.000000000
518,2023-10-03 09:02:00.000000000
519,2023-10-03 12:01:05.419202816
520,2023-10-03 08:54:00.000000000
521,2023-10-03 08:54:00.000000000
522,2023-10-03 09:02:00.000000000
523,2023-10-03 09:02:00.000000000
524,2023-10-03 09:02:00.000000000
525,2023-10-03 12:01:05.419202816
526,2023-10-03 08:55:00.000000000
527,2023-10-03 12:01:05.419202816
528,2023-10-03 08:58:00.000000000
529,2023-10-03 08:54:00.000000000
530,2023-10-03 08:53:00.000000000
531,2023-10-03 08:54:00.000000000
532,2023-10-03 08:55:00.000000000
533,2023-10-03 08:54:00.000000000
534,2023-10-03 08:54:00.000000000
535,2023-10-03 09:02:00.000000000
536,2023-10-03 08:58:00.000000000
537,2023-10-03 08:55:00.000000000
538,2023-10-03 09:02:00.000000000
539,2023-10-03 08:54:00.000000000
540,2023-10-03 08:59:00.000000000
541,2023-10-03 09:02:00.000000000
542,2023-10-03 08:55:00.000000000
543,2023-10-03 09:02:00.000000000
544,2023-10-03 08:52:00.000000000
545,2023-10-03 12:01:05.419202816
546,2023-10-03 09:02:00.000000000
547,2023-10-03 08:54:00.000000000
548,2023-10-03 08:54:00.000000000
549,2023-10-03 09:02:00.000000000
550,2023-10-03 08:54:00.000000000
551,2023-10-03 09:10:00.000000000
552,2023-10-03 12:01:05.419202816
553,2023-10-03 09:02:00.000000000
554,2023-10-03 12:01:05.419202816
555,2023-10-03 09:02:00.000000000
556,2023-10-03 12:01:05.419202816
557,2023-10-03 08:52:00.000000000
558,2023-10-03 12:01:05.419202816
559,2023-10-03 12:01:05.419202816
560,2023-10-03 12:01:05.419202816
561,2023-10-03 12:01:05.419202816
562,2023-10-03 08:54:00.000000000
563,2023-10-03 08:54:00.000000000
564,2023-10-03 09:02:00.000000000
565,2023-10-03 09:08:00.000000000
566,2023-10-03 09:03:00.000000000
567,2023-10-03 09:02:00.000000000
568,2023-10-03 09:02:00.000000000
569,2023-10-03 08:57:00.000000000
570,2023-10-03 09:02:00.000000000
571,2023-10-03 08:54:00.000000000
572,2023-10-03 09:02:00.000000000
573,2023-10-03 08:57:00.000000000
574,2023-10-03 09:08:00.000000000
575,2023-10-03 08:58:00.000000000
576,2023-10-03 09:10:00.000000000
577,2023-10-03 09:02:00.000000000
578,2023-10-03 12:01:05.419202816
579,2023-10-03 09:02:00.000000000
580,2023-10-03 08:54:00.000000000
581,2023-10-03 12:01:05.419202816
582,2023-10-03 08:58:00.000000000
583,2023-10-03 12:01:05.419202816
584,2023-10-03 12:01:05.419202816
585,2023-10-03 08:57:00.000000000
586,2023-10-03 09:02:00.000000000
587,2023-10-03 12:01:05.419202816
588,2023-10-03 09:03:00.000000000
589,2023-10-03 09:03:00.000000000
590,2023-10-03 09:10:00.000000000
591,2023-10-03 12:01:05.419202816
592,2023-10-03 12:01:05.419202816
593,2023-10-03 12:01:05.419202816
594,2023-10-03 08:58:00.000000000
595,2023-10-03 08:56:00.000000000
596,2023-10-03 08:56:00.000000000
597,2023-10-03 09:02:00.000000000
598,2023-10-03 12:01:05.419202816
599,2023-10-03 09:08:00.000000000
600,2023-10-03 09:02:00.000000000
601,2023-10-03 12:01:05.419202816
602,2023-10-03 12:01:05.419202816
603,2023-10-03 08:55:00.000000000
604,2023-10-03 08:56:00.000000000
605,2023-10-03 09:03:00.000000000
606,2023-10-03 12:01:05.419202816
607,2023-10-03 08:56:00.000000000
608,2023-10-03 12:01:05.419202816
609,2023-10-03 08:55:00.000000000
610,2023-10-03 09:10:00.000000000
611,2023-10-03 12:01:05.419202816
612,2023-10-03 08:58:00.000000000
613,2023-10-03 09:05:00.000000000
614,2023-10-03 09:05:00.000000000
615,2023-10-03 08:58:00.000000000
616,2023-10-03 12:01:05.419202816
617,2023-10-03 08:55:00.000000000
618,2023-10-03 08:56:00.000000000
619,2023-10-03 09:00:00.000000000
620,2023-10-03 09:05:00.000000000
621,2023-10-03 09:01:00.000000000
622,2023-10-03 09:01:00.000000000
623,2023-10-03 09:03:00.000000000
624,2023-10-03 09:01:00.000000000
625,2023-10-03 09:05:00.000000000
626,2023-10-03 12:01:05.419202816
627,2023-10-03 09:00:00.000000000
628,2023-10-03 12:01:05.419202816
629,2023-10-03 12:01:05.419202816
630,2023-10-03 09:01:00.000000000
631,2023-10-03 09:05:00.000000000
632,2023-10-03 09:10:00.000000000
633,2023-10-03 09:01:00.000000000
634,2023-10-03 09:04:00.000000000
635,2023-10-03 12:01:05.419202816
636,2023-10-03 09:04:00.000000000
637,2023-10-03 09:01:00.000000000
638,2023-10-03 08:59:00.000000000
639,2023-10-03 09:08:00.000000000
640,2023-10-03 09:05:00.000000000
641,2023-10-03 09:08:00.000000000
642,2023-10-03 12:01:05.419202816
643,2023-10-03 09:04:00.000000000
644,2023-10-03 09:10:00.000000000
645,2023-10-03 09:10:00.000000000
646,2023-10-03 09:01:00.000000000
647,2023-10-03 08:58:00.000000000
648,2023-10-03 08:59:00.000000000
649,2023-10-03 09:01:00.000000000
650,2023-10-03 09:01:00.000000000
651,2023-10-03 08:58:00.000000000
652,2023-10-03 08:59:00.000000000
653,2023-10-03 08:59:00.000000000
654,2023-10-03 12:01:05.419202816
655,2023-10-03 09:10:00.000000000
656,2023-10-03 09:00:00.000000000
657,2023-10-03 09:00:00.000000000
658,2023-10-03 09:01:00.000000000
659,2023-10-03 12:01:05.419202816
660,2023-10-03 12:01:05.419202816
661,2023-10-03 12:01:05.419202816
662,2023-10-03 12:01:05.419202816
663,2023-10-03 09:11:00.000000000
664,2023-10-03 12:01:05.419202816
665,2023-10-03 09:01:00.000000000
666,2023-10-03 09:01:00.000000000
667,2023-10-03 09:08:00.000000000
668,2023-10-03 09:35:00.000000000
669,2023-10-03 12:01:05.419202816
670,2023-10-03 09:03:00.000000000
671,2023-10-03 12:01:05.419202816
672,2023-10-03 12:01:05.419202816
673,2023-10-03 09:07:00.000000000
674,2023-10-03 09:11:00.000000000
675,2023-10-03 09:04:00.000000000
676,2023-10-03 09:08:00.000000000
677,2023-10-03 12:01:05.419202816
678,2023-10-03 09:03:00.000000000
679,2023-10-03 12:01:05.419202816
680,2023-10-03 09:11:00.000000000
681,2023-10-03 08:59:00.000000000
682,2023-10-03 12:01:05.419202816
683,2023-10-03 12:01:05.419202816
684,2023-10-03 09:03:00.000000000
685,2023-10-03 12:01:05.419202816
686,2023-10-03 09:11:00.000000000
687,2023-10-03 12:01:05.419202816
688,2023-10-03 09:08:00.000000000
689,2023-10-03 12:01:05.419202816
690,2023-10-03 12:01:05.419202816
691,2023-10-03 09:01:00.000000000
692,2023-10-03 09:11:00.000000000
693,2023-10-03 09:03:00.000000000
694,2023-10-03 09:03:00.000000000
695,2023-10-03 09:08:00.000000000
696,2023-10-03 09:11:00.000000000
697,2023-10-03 09:08:00.000000000
698,2023-10-03 12:01:05.419202816
699,2023-10-03 09:11:00.000000000
700,2023-10-03 09:03:00.000000000
701,2023-10-03 09:00:00.000000000
702,2023-10-03 09:01:00.000000000
703,2023-10-03 09:01:00.000000000
704,2023-10-03 12:01:05.419202816
705,2023-10-03 09:04:00.000000000
706,2023-10-03 09:04:00.000000000
707,2023-10-03 09:11:00.000000000
708,2023-10-03 09:07:00.000000000
709,2023-10-03 09:08:00.000000000
710,2023-10-03 12:01:05.419202816
711,2023-10-03 12:01:05.419202816
712,2023-10-03 12:01:05.419202816
713,2023-10-03 12:01:05.419202816
714,2023-10-03 09:03:00.000000000
715,2023-10-03 09:00:00.000000000
716,2023-10-03 12:01:05.419202816
717,2023-10-03 12:01:05.419202816
718,2023-10-03 09:04:00.000000000
719,2023-10-03 12:01:05.419202816
720,2023-10-03 09:01:00.000000000
721,2023-10-03 12:01:05.419202816
722,2023-10-03 09:06:00.000000000
723,2023-10-03 09:11:00.000000000
724,2023-10-03 12:01:05.419202816
725,2023-10-03 12:01:05.419202816
726,2023-10-03 12:01:05.419202816
727,2023-10-03 09:04:00.000000000
728,2023-10-03 12:01:05.419202816
729,2023-10-03 12:01:05.419202816
730,2023-10-03 09:11:00.000000000
731,2023-10-03 09:08:00.000000000
732,2023-10-03 09:07:00.000000000
733,2023-10-03 09:11:00.000000000
734,2023-10-03 09:04:00.000000000
735,2023-10-03 12:01:05.419202816
